keys,en,fr,es
WPN_IMPULSE_CANNON_DESC,"Auto-fires at the nearest enemy. Pierces from level 3, then double projectile. The reliable, versatile starting weapon.","Tir automatique sur l'ennemi le plus proche. Perfore dès le niveau 3, puis double projectile. L'arme de départ fiable et polyvalente.","Dispara automáticamente al enemigo más cercano. Perfora desde el nivel 3, luego doble proyectil. El arma inicial fiable y versátil."
WPN_PLASMA_BLADE_NAME,Plasma Blade,Lame Plasma,Hoja de Plasma
WPN_PLASMA_BLADE_DESC,"A slashing melee arc in a cone in front of the player. Angle and range widen each level. Excellent against swarms up close.","Arc de mêlée tranchant dans un cône devant le joueur. L'angle et la portée s'élargissent à chaque niveau. Excellente contre les nuées au corps-à-corps.","Arco de cuerpo a cuerpo cortante en un cono frente al jugador. El ángulo y el alcance crecen con cada nivel. Excelente contra enjambres de cerca."
WPN_DRONE_SWARM_NAME,Drone Swarm,Essaim de Drones,Enjambre de Drones
WPN_DRONE_SWARM_DESC,"Orbiting drones that deal continuous contact damage. Up to 4 spinning drones. Permanent passive protection around you.","Drones en orbite qui infligent des dégâts de contact en continu. Jusqu'à 4 drones tournoyants. Protection passive permanente autour de toi.","Drones en órbita que infligen daño de contacto continuo. Hasta 4 drones girando. Protección pasiva permanente a tu alrededor."
WPN_OVERLOAD_FIELD_NAME,Overload Field,Champ de Surcharge,Campo de Sobrecarga
WPN_OVERLOAD_FIELD_DESC,"An area pulse centered on the player: damage + knockback. The radius grows with level. Creates space when you are overwhelmed.","Pulse de zone centré sur le joueur : dégâts + repoussée (knockback). Le rayon grandit avec le niveau. Crée de l'espace quand tu es submergé.","Pulso de área centrado en el jugador: daño + empuje. El radio crece con el nivel. Crea espacio cuando te ves desbordado."
WPN_TESLA_COIL_NAME,Tesla Coil,Bobine Tesla,Bobina Tesla
WPN_TESLA_COIL_DESC,"A chain lightning that bounces from enemy to enemy (up to 7 jumps). Dazzling cyan lightning. Ravages dense groups in a flash.","Éclair en chaîne qui rebondit d'ennemi en ennemi (jusqu'à 7 sauts). Foudre cyan éblouissante. Ravage les groupes denses en un éclair.","Rayo en cadena que rebota de enemigo en enemigo (hasta 7 saltos). Relámpago cian deslumbrante. Arrasa los grupos densos en un instante."
WPN_SCATTER_VOLLEY_NAME,Scatter Volley,Volée Multiple,Andanada Múltiple
WPN_SCATTER_VOLLEY_DESC,"Multi-target fire: sends several projectiles at the nearest enemies, one per target. 2 projectiles at level 1, +1 each level (up to 6). Ideal against scattered groups.","Tir multi-cible : envoie plusieurs projectiles vers les ennemis les plus proches, un par cible. 2 projectiles au niveau 1, +1 à chaque niveau (jusqu'à 6). Idéale contre les groupes éparpillés.","Disparo multiobjetivo: lanza varios proyectiles a los enemigos más cercanos, uno por objetivo. 2 proyectiles en nivel 1, +1 por nivel (hasta 6). Ideal contra grupos dispersos."
WPN_FUSION_BLADE_NAME,Fusion Blade,Lame à Fusion,Hoja de Fusión
WPN_FUSION_BLADE_DESC,"Evolution of the Plasma Blade + Thermal Core: the arc becomes a ring of Aether flames active continuously around the player. No more cooldown.","Évolution de la Lame Plasma + Noyau Thermique : l'arc devient un anneau de flammes d'Aether actif en continu autour du joueur. Plus aucun cooldown.","Evolución de la Hoja de Plasma + Núcleo Térmico: el arco se vuelve un anillo de llamas de Aether activo de forma continua alrededor del jugador. Sin enfriamiento."
WPN_RAIL_OVERCHARGED_NAME,Overcharged Rail,Rail Surchargé,Raíl Sobrecargado
WPN_RAIL_OVERCHARGED_DESC,"Evolution of the Cannon + Capacitor: an automatic burst of 3 piercing projectiles that pass through the whole line of enemies.","Évolution du Canon + Capaciteur : rafale automatique de 3 projectiles perforants qui traversent toute la ligne d'ennemis.","Evolución del Cañón + Capacitor: ráfaga automática de 3 proyectiles perforantes que atraviesan toda la línea de enemigos."
WPN_ORBITAL_SWARM_NAME,Orbital Swarm,Essaim Orbital,Enjambre Orbital
WPN_ORBITAL_SWARM_DESC,"Evolution of the Drone Swarm + Servo-Motors: 6 ultra-fast drones in a wide orbit. An offensive shield that grinds everything on contact.","Évolution de l'Essaim de Drones + Servo-Moteurs : 6 drones ultra-rapides en orbite large. Un bouclier offensif qui broie tout au contact.","Evolución del Enjambre de Drones + Servomotores: 6 drones ultrarrápidos en órbita amplia. Un escudo ofensivo que tritura todo al contacto."
WPN_OVERLOAD_AEGIS_NAME,Overload Aegis,Égide de Surcharge,Égida de Sobrecarga
WPN_OVERLOAD_AEGIS_DESC,"Evolution of the Overload Field + Reinforced Plating: a massive pulse with brutal knockback that heals your HP with each wave. The mobile fortress.","Évolution du Champ de Surcharge + Plaque Renforcée : pulse massif à knockback brutal qui régénère tes PV à chaque onde. La forteresse mobile.","Evolución del Campo de Sobrecarga + Placa Reforzada: pulso masivo con empuje brutal que regenera tu vida con cada onda. La fortaleza móvil."
PAS_THERMAL_CORE_NAME,Thermal Core,Noyau Thermique,Núcleo Térmico
PAS_THERMAL_CORE_DESC,"Increases the damage of all active weapons. Prerequisite of the Fusion Blade fusion.","Augmente les dégâts de toutes les armes actives. Prérequis de la fusion Lame à Fusion.","Aumenta el daño de todas las armas activas. Requisito de la fusión Hoja de Fusión."
PAS_REINFORCED_PLATING_NAME,Reinforced Plating,Plaque Renforcée,Placa Reforzada
PAS_REINFORCED_PLATING_DESC,"Increases max HP and reduces damage taken (up to -40%). The pillar of a defensive build.","Augmente les PV max et réduit les dégâts reçus (jusqu'à -40%). Le pilier d'un build défensif.","Aumenta la vida máxima y reduce el daño recibido (hasta -40%). El pilar de un build defensivo."
PAS_SERVO_MOTORS_NAME,Servo-Motors,Servo-Moteurs,Servomotores
PAS_SERVO_MOTORS_DESC,"Increases movement speed (cap 380). More mobility to kite the swarms.","Augmente la vitesse de déplacement (plafond 380). Plus de mobilité pour kiter les nuées.","Aumenta la velocidad de movimiento (tope 380). Más movilidad para kitear los enjambres."
PAS_CAPACITOR_NAME,Capacitor,Capaciteur,Capacitor
PAS_CAPACITOR_DESC,"Reduces the cooldown of all active weapons. Prerequisite of the Overcharged Rail fusion.","Réduit le cooldown de toutes les armes actives. Prérequis de la fusion Rail Surchargé.","Reduce el enfriamiento de todas las armas activas. Requisito de la fusión Raíl Sobrecargado."
UPGRADE_HP_BOOST_NAME,Reinforced Body,Corps Renforcé,Cuerpo Reforzado
UPGRADE_HP_BOOST_DESC,+20 max HP per level. You start with more survival margin.,+20 HP maximum par niveau. Vous partez avec plus de marge de survie.,+20 de vida máxima por nivel. Empiezas con más margen de supervivencia.
UPGRADE_DAMAGE_BOOST_NAME,Offensive Calibration,Calibration Offensive,Calibración Ofensiva
UPGRADE_DAMAGE_BOOST_DESC,+10% damage per level (applies to all weapons).,+10% de dégâts par niveau (s'applique à toutes les armes).,+10% de daño por nivel (se aplica a todas las armas).
UPGRADE_SPEED_BOOST_NAME,Improved Servos,Servos Améliorés,Servos Mejorados
UPGRADE_SPEED_BOOST_DESC,+15 px/s to starting speed per level.,+15 px/s à la vitesse de départ par niveau.,+15 px/s a la velocidad inicial por nivel.
UPGRADE_COOLDOWN_REDUCTION_NAME,Aether Sync,Synchronisation Aether,Sincronización de Aether
UPGRADE_COOLDOWN_REDUCTION_DESC,-5% cooldown on all weapons per level from the start of the run.,-5% de cooldown sur toutes les armes par niveau dès le début de run.,-5% de enfriamiento en todas las armas por nivel desde el inicio de la partida.
UPGRADE_DAMAGE_REDUCTION_NAME,Composite Armor,Blindage Composite,Blindaje Compuesto
UPGRADE_DAMAGE_REDUCTION_DESC,"-5% damage taken per level (stacks with Reinforced Plating, global cap 40%).","-5% de dégâts reçus par niveau (cumulable avec la Plaque Renforcée, hardcap global 40%).","-5% de daño recibido por nivel (acumulable con la Placa Reforzada, tope global 40%)."
UPGRADE_REROLL_NAME,Tactical Recalibration,Recalibrage Tactique,Recalibración Táctica
UPGRADE_REROLL_DESC,Rerolls the cards offered at level-up. +1 use per run and per level (max 3).,Renouvelle les cartes proposées à la montée de niveau. +1 utilisation par run et par niveau (max 3).,Recarga las cartas ofrecidas al subir de nivel. +1 uso por partida y por nivel (máx. 3).
UPGRADE_SKIP_NAME,Selection Dodge,Esquive de Sélection,Esquiva de Selección
UPGRADE_SKIP_DESC,Lets you skip a card selection (you keep the level). +1 use per run and per level (max 3).,Permet de passer une sélection de cartes (vous gardez le niveau). +1 utilisation par run et par niveau (max 3).,Permite saltar una selección de cartas (conservas el nivel). +1 uso por partida y por nivel (máx. 3).
UPGRADE_HP_BOOST_2_NAME,Armored Plating,Plaque Blindée,Blindaje Reforzado
UPGRADE_HP_BOOST_2_DESC,"+35 additional max HP per level (2 levels). Extension of Reinforced Body for tank builds.","+35 HP maximum supplémentaires par niveau (2 niveaux). Extension du Corps Renforcé pour les builds tank.","+35 de vida máxima adicional por nivel (2 niveles). Extensión del Cuerpo Reforzado para builds de tanque."
UPGRADE_DAMAGE_BOOST_2_NAME,Advanced Calibration,Calibration Avancée,Calibración Avanzada
UPGRADE_DAMAGE_BOOST_2_DESC,"+8% additional damage per level (3 levels). Extension of Offensive Calibration for long runs.","+8% dégâts supplémentaires par niveau (3 niveaux). Extension de la Calibration Offensive pour les runs longues.","+8% de daño adicional por nivel (3 niveles). Extensión de la Calibración Ofensiva para partidas largas."
UPGRADE_COOLDOWN_REDUCTION_2_NAME,Aether Sync II,Synchronisation Aether II,Sincronización de Aether II
UPGRADE_COOLDOWN_REDUCTION_2_DESC,"-4% additional cooldown per level (2 levels). Extension of Aether Sync.","-4% de cooldown supplémentaire par niveau (2 niveaux). Extension de la Synchronisation Aether.","-4% de enfriamiento adicional por nivel (2 niveles). Extensión de la Sincronización de Aether."
UPGRADE_DAMAGE_REDUCTION_2_NAME,Composite Armor II,Blindage Composite II,Blindaje Compuesto II
UPGRADE_DAMAGE_REDUCTION_2_DESC,"-4% additional damage taken per level (2 levels). Approaches the global 40% hardcap if stacked with the in-run Reinforced Plating.","-4% de dégâts reçus supplémentaire par niveau (2 niveaux). Approche le hardcap global de 40% si cumulé avec la Plaque Renforcée in-run.","-4% de daño recibido adicional por nivel (2 niveles). Se acerca al tope global del 40% si se acumula con la Placa Reforzada de la partida."
UPGRADE_EXTRA_LIFE_NAME,Emergency Core,Noyau de Secours,Núcleo de Emergencia
UPGRADE_EXTRA_LIFE_DESC,"An emergency core brings you back to 30% HP instead of dying. +1 charge per level, recharged every run (2 levels max).","Un noyau d'urgence vous ramène à 30% HP au lieu de mourir. +1 charge par niveau, rechargée à chaque run (2 niveaux max).","Un núcleo de emergencia te devuelve al 30% de vida en lugar de morir. +1 carga por nivel, recargada en cada partida (máx. 2 niveles)."
UPGRADE_DAMAGE_ABSORB_NAME,Adaptive Plating,Plaque Adaptative,Placa Adaptativa
UPGRADE_DAMAGE_ABSORB_DESC,"The first hits taken during the run are fully absorbed (0 damage). +1 charge per level, recharged every run (3 levels max).","Les premiers coups reçus dans la run sont totalement absorbés (0 dégât). +1 charge par niveau, rechargée à chaque run (3 niveaux max).","Los primeros golpes recibidos en la partida se absorben por completo (0 de daño). +1 carga por nivel, recargada en cada partida (máx. 3 niveles)."
UPGRADE_HP_REGEN_NAME,Self-Repair,Auto-Réparation,Autorreparación
UPGRADE_HP_REGEN_DESC,"Continuously regenerates HP during the run. +0.4 HP/s per level (3 levels, max 1.2 HP/s).","Régénère des HP en continu pendant la run. +0.4 HP/s par niveau (3 niveaux, max 1.2 HP/s).","Regenera vida de forma continua durante la partida. +0.4 de vida/s por nivel (3 niveles, máx. 1.2 de vida/s)."
UPGRADE_CORE_MAGNETISM_NAME,Core Resonance,Résonance de Noyau,Resonancia de Núcleo
UPGRADE_CORE_MAGNETISM_DESC,"Increases the pickup radius of Aether Cores. +15/+15/+20 px per level (base 20 px → 70 px max).","Augmente le rayon de ramassage des Noyaux d'Aether. +15/+15/+20 px par niveau (base 20 px → 70 px max).","Aumenta el radio de recogida de los Núcleos de Aether. +15/+15/+20 px por nivel (base 20 px → 70 px máx.)."
UPGRADE_OVERTIME_STABILIZER_NAME,Overload Stabilizer,Stabilisateur de Surcharge,Estabilizador de Sobrecarga
UPGRADE_OVERTIME_STABILIZER_DESC,"Reduces the aggressiveness of the Overtime escalation (spawn and enemy scaling). -5% per level (3 levels, max -15%).","Réduit l'agressivité de l'escalade en Overtime (spawn et scaling ennemis). -5% par niveau (3 niveaux, max -15%).","Reduce la agresividad de la escalada en Sobretiempo (aparición y escalado de enemigos). -5% por nivel (3 niveles, máx. -15%)."
UPGRADE_BONUS_MAGNET_NAME,Auxiliary Magnet,Aimant Auxiliaire,Imán Auxiliar
UPGRADE_BONUS_MAGNET_DESC,"+1 Magnet spawn per run and per level (2 levels, base 3 → up to 5 per run).","+1 apparition de l'Aimant par run et par niveau (2 niveaux, base 3 → jusqu'à 5 par run).","+1 aparición del Imán por partida y por nivel (2 niveles, base 3 → hasta 5 por partida)."
INTRO_BEAT_1,"Two centuries ago, the world's networks were linked to the Aether —\nthe magical energy buried in the depths.","Il y a deux siècles, on a relié les réseaux du monde à l'Aether —\nl'énergie magique enfouie dans les profondeurs.","Hace dos siglos, se conectaron las redes del mundo al Aether —\nla energía mágica enterrada en las profundidades."
INTRO_BEAT_2,"The Convergence was neither war nor explosion, but a fusion.\nMachines ceased to be tools.","La Convergence ne fut ni guerre ni explosion, mais une fusion.\nLes machines cessèrent d'être des outils.","La Convergencia no fue guerra ni explosión, sino una fusión.\nLas máquinas dejaron de ser herramientas."
INTRO_BEAT_3,"From that corruption was born the Living Rust.\nIt does not destroy: it integrates. It transforms.","De cette corruption naquit la Rouille Vivante.\nElle ne détruit pas : elle intègre. Elle transforme.","De esa corrupción nació la Herrumbre Viviente.\nNo destruye: integra. Transforma."
INTRO_BEAT_4,"The Sanctuaries, ruins saturated with Aether,\nkeep the Cores — the last hope of the enclaves.","Les Sanctuaires, ruines saturées d'Aether,\ngardent les Noyaux — le dernier espoir des enclaves.","Los Santuarios, ruinas saturadas de Aether,\nguardan los Núcleos — la última esperanza de los enclaves."
INTRO_BEAT_5,"Someone must descend there.\nIt will be you.","Quelqu'un doit y descendre.\nCe sera toi.","Alguien debe descender allí.\nSerás tú."
INTRO_BEAT_6,"You will not just kill what hunts you.\nYou will tear a piece of it free — and let it become part of you.","Tu ne te contenteras pas de tuer ce qui te traque.\nTu lui arracheras un fragment — et le laisseras devenir toi.","No te limitarás a matar lo que te acecha.\nLe arrancarás un fragmento — y dejarás que se vuelva parte de ti."
BIOME_NEON_NAME,Neon Sector,Secteur Néon,Sector Neón
BIOME_NEON_EFFECT,"Overclock: enemies +10% faster, +15% XP","Overclock : ennemis +10% rapides, +15% XP","Overclock: enemigos +10% rápidos, +15% XP"
BIOME_NEON_DESC,"An overclocked data sector bathed in neon. Enemies are 10% faster, but XP is boosted by 15%: risk versus reward.","Un secteur de données overclocké, nappé de néons. Les ennemis vont 10% plus vite, mais l'XP est augmentée de 15% : risque contre récompense.","Un sector de datos overclockeado, bañado en neón. Los enemigos son un 10% más rápidos, pero la XP aumenta un 15%: riesgo contra recompensa."
WPN_GLAIVE_NAME,Boomerang Blade,Lame Boomerang,Hoja Bumerán
WPN_GLAIVE_DESC,"Throws glaives that fly out to the nearest enemies then return — hitting each target on the way out AND back. 1 glaive at level 1, more at higher levels. Great for clearing lines.","Lance des glaives qui filent vers les ennemis proches puis reviennent — touchant chaque cible à l'aller ET au retour. 1 glaive au niveau 1, davantage aux niveaux supérieurs. Idéale pour balayer une ligne.","Lanza guadañas que vuelan hacia los enemigos cercanos y regresan, golpeando a cada objetivo a la ida Y a la vuelta. 1 guadaña en nivel 1, más en niveles superiores. Ideal para barrer una línea."
WPN_SEEKER_SWARM_NAME,Seeker Swarm,Essaim Traqueur,Enjambre Rastreador
WPN_SEEKER_SWARM_DESC,"Launches homing missiles that curve toward nearby enemies and re-target if their prey dies. 2 missiles at level 1, +1 per level (up to 5). Reliable damage even while kiting.","Lance des missiles à tête chercheuse qui s'incurvent vers les ennemis proches et re-ciblent si leur proie meurt. 2 missiles au niveau 1, +1 par niveau (jusqu'à 5). Des dégâts fiables même en kitant.","Lanza misiles teledirigidos que se curvan hacia los enemigos cercanos y vuelven a fijar objetivo si su presa muere. 2 misiles en nivel 1, +1 por nivel (hasta 5). Daño fiable incluso mientras kiteas."
WPN_CRYO_LANCE_NAME,Cryo Lance,Lance Cryo,Lanza Cryo
WPN_CRYO_LANCE_DESC,"A piercing icy beam that strikes every enemy in a line and slows them (up to -40%). Low burst, strong crowd control — great in the Frost biome.","Un rayon glacé perçant qui frappe tous les ennemis en ligne et les ralentit (jusqu'à -40%). Peu de burst, fort contrôle — excellent dans le Givre.","Un rayo helado perforante que golpea a todos los enemigos en línea y los ralentiza (hasta -40%). Poco daño directo, gran control — ideal en la Escarcha."
WPN_PYRE_STREAM_NAME,Pyre Stream,Jet de Pyre,Chorro de Pira
WPN_PYRE_STREAM_DESC,A short-range cone of flames: little direct damage but sets enemies on fire (damage over time). Burns build up while you keep them in the cone.,Un cône de flammes courte portée : peu de dégâts directs mais enflamme les ennemis (dégâts dans le temps). La brûlure s'entretient tant qu'ils restent dans le cône.,Un cono de llamas de corto alcance: poco daño directo pero incendia a los enemigos (daño con el tiempo). La quemadura se mantiene mientras sigan en el cono.
WPN_VECTOR_LANCE_NAME,Vector Lance,Lance Vectorielle,Lanza Vectorial
WPN_VECTOR_LANCE_DESC,"An aimed weapon: fires a piercing bolt where YOU aim (mouse, or right stick on a gamepad), not at the nearest enemy. A reticle shows the direction. Rewards aiming — a skill weapon amid the auto-aim. High levels add a tight spread of extra bolts.","Une arme dirigée : tire un trait perforant là où TU VISES (souris, ou stick droit à la manette), pas vers l'ennemi le plus proche. Un réticule indique la direction. Récompense la visée — une arme de skill au milieu de l'auto-visée. Les hauts niveaux ajoutent des traits en éventail serré.","Un arma dirigida: dispara un proyectil perforante hacia donde APUNTAS (ratón, o stick derecho en mando), no hacia el enemigo más cercano. Una mira indica la dirección. Recompensa la puntería — un arma de habilidad entre el apuntado automático. Los niveles altos añaden proyectiles en abanico cerrado."
WPN_VECTOR_BEAM_NAME,Vector Beam,Rayon Vecteur,Rayo Vectorial
WPN_VECTOR_BEAM_DESC,"Fusion of the Vector Lance + Servo Motors. The aimed bolt becomes a continuous piercing BEAM pointed where you aim (mouse / right stick) — no cooldown, it sweeps and cuts through the whole line of enemies. Aim skill taken to its peak: paint the screen with the beam.","Fusion de la Lance Vectorielle + Servo-Moteurs. Le trait dirigé devient un RAYON perforant continu pointé là où tu vises (souris / stick droit) — plus de cooldown, il balaie et traverse toute la ligne d'ennemis. Le skill de visée à son paroxysme : peins l'écran avec le rayon.","Fusión de la Lanza Vectorial + Servomotores. El proyectil dirigido se convierte en un RAYO perforante continuo apuntado hacia donde miras (ratón / stick derecho) — sin enfriamiento, barre y atraviesa toda la línea de enemigos. La puntería llevada al límite: pinta la pantalla con el rayo."
WPN_FROST_VEIL_NAME,Frost Veil,Voile de Givre,Velo de Escarcha
WPN_FROST_VEIL_DESC,"Fusion of the Cryo Lance + Reinforced Plating. The piercing ice beam becomes a continuous FROST VEIL around you: every tick it damages and heavily slows every enemy in range, reapplied endlessly, so the swarm stays crawling at your doorstep. Your best armor is the cold — stand your ground and freeze everything that closes in.","Fusion de la Lance Cryo + Plaque Renforcée. Le rayon glacé devient un VOILE de givre continu autour de toi : à chaque tick, il blesse et ralentit fortement tout ennemi à portée, réappliqué sans relâche, et la nuée reste engluée au ralenti à tes pieds. Ta meilleure armure, c'est le froid — tiens ta position et gèle tout ce qui approche.","Fusión de la Lanza Cryo + Placa Reforzada. El rayo helado se convierte en un VELO de escarcha continuo a tu alrededor: cada tick daña y ralentiza mucho a todo enemigo a su alcance, reaplicado sin cesar, y el enjambre queda arrastrándose a tus pies. Tu mejor armadura es el frío: mantén tu posición y congela todo lo que se acerque."
WPN_SINGULARITY_NAME,Singularity,Singularité,Singularidad
WPN_SINGULARITY_DESC,"Deploys a gravity well that pulls nearby enemies toward its center and damages them in pulses. Powerful zone control on a long cooldown — group the swarm, then unleash your other weapons.","Déploie un puits gravitationnel qui aspire les ennemis proches vers son centre et les blesse par à-coups. Puissant contrôle de zone à long cooldown — regroupe la nuée, puis déchaîne tes autres armes.",Despliega un pozo gravitatorio que atrae a los enemigos cercanos hacia su centro y los daña por pulsos. Potente control de zona con enfriamiento largo: agrupa al enjambre y luego desata tus otras armas.
POWERUP_OVERCLOCK,Overclock,Surcadence,Overclock
POWERUP_BERSERK,Berserk,Furie,Furia
POWERUP_AEGIS,Aegis,Égide,Égida
POWERUP_CELERITY,Celerity,Célérité,Celeridad
LEVELSEL_LOCKED,LOCKED,VERROUILLÉ,BLOQUEADO
OVERTIME,⚠ OVERTIME ⚠,⚠ OVERTIME ⚠,⚠ TIEMPO EXTRA ⚠
LEVEL_COMPLETE,LEVEL COMPLETE!,NIVEAU TERMINÉ !,¡NIVEL COMPLETADO!
RUNEND_LEVEL_DONE,LEVEL COMPLETE,NIVEAU TERMINÉ,NIVEL COMPLETADO
RUNEND_SURVIVED,Survived,Survie,Supervivencia
RUNEND_BEST,Best,Record,Récord
RUNEND_NEW_RECORD,NEW RECORD!,NOUVEAU RECORD !,¡NUEVO RÉCORD!
ARSENAL_LOCKED,Undiscovered,Non découverte,No descubierta
ARSENAL_LOCKED_DESC,Weapon not yet discovered. Find and equip it in a run (via a level-up card) to reveal it here.,Arme non découverte. Trouve-la et équipe-la en partie (carte de montée de niveau) pour la révéler ici.,Arma no descubierta. Encuéntrala y equípala en una partida (carta de subida de nivel) para revelarla aquí.
OPTIONS_RESET,Reset everything,Tout réinitialiser,Reiniciar todo
OPTIONS_RESET_CONFIRM,⚠ Confirm? (irreversible — deletes Echoes & progress),⚠ Confirmer ? (irréversible — efface Échos & progression),⚠ ¿Confirmar? (irreversible — borra Ecos y progreso)
OPTIONS_RESET_DONE,✓ Reset done,✓ Réinitialisé,✓ Reiniciado
INTRO_TITLE,CHIMERA PROTOCOL,CHIMERA PROTOCOL,CHIMERA PROTOCOL
INTRO_TAGLINE,Don't kill the monsters. Become them.,Ne tue pas les monstres. Deviens-les.,No mates a los monstruos. Conviértete en ellos.
WPN_IONIC_STORM_NAME,Ionic Storm,Tempête Ionique,Tormenta Iónica
WPN_IONIC_STORM_DESC,"Evolution of the Tesla Coil + Capacitor: the arc never stops, a string of lightning strikes and bounces continuously across a long chain of enemies.","Évolution de la Bobine Tesla + Capaciteur : l'arc ne s'arrête plus, un chapelet d'éclairs frappe et rebondit en continu sur une longue chaîne d'ennemis.","Evolución de la Bobina Tesla + Capacitor: el arco no se detiene, una ristra de rayos golpea y rebota sin cesar sobre una larga cadena de enemigos."
WPN_SOLAR_COLUMN_NAME,Solar Column,Colonne Solaire,Columna Solar
WPN_SOLAR_COLUMN_DESC,"Evolution of the Pyre Stream + Thermal Core: the directed jet becomes a solar flare, dealing damage and massive burn to every nearby enemy inside a crown of flames.","Évolution du Jet de Pyre + Noyau Thermique : le jet dirigé devient une éruption solaire, dégâts et brûlure massive à tous les ennemis autour, dans une couronne de flammes.","Evolución del Chorro de Pira + Núcleo Térmico: el chorro dirigido se vuelve una erupción solar, con daño y quemadura masiva a todos los enemigos cercanos, en una corona de llamas."
WPN_HORNET_SWARM_NAME,Hornet Swarm,Nuée de Frelons,Enjambre de Avispones
WPN_HORNET_SWARM_DESC,"Evolution of the Seeker Swarm + Servo-Motors: the swarm floods the screen, 7 homing missiles per volley, faster and fiercer, retargeting relentlessly.","Évolution de l'Essaim Traqueur + Servo-Moteurs : l'essaim sature l'écran, 7 missiles chercheurs par salve, plus rapides et plus mordants, qui re-ciblent sans relâche.","Evolución del Enjambre Rastreador + Servomotores: el enjambre satura la pantalla, 7 misiles teledirigidos por andanada, más rápidos y feroces, que reapuntan sin descanso."
UPDATE_AVAILABLE,New version {0} available!,Nouvelle version {0} disponible !,¡Nueva versión {0} disponible!
UPDATE_DOWNLOAD,Get it on itch.io,Récupérer sur itch.io,Conseguir en itch.io
UPGRADE_GRAFT_SLOTS_NAME,Assimilation Matrix,Matrice d'Assimilation,Matriz de Asimilación
UPGRADE_GRAFT_SLOTS_DESC,"Your core can bear one more graft. +1 Assimilation slot per level (base 3, up to 5).","Ton noyau supporte une greffe de plus. +1 emplacement d'Assimilation par niveau (base 3, jusqu'à 5).","Tu núcleo soporta un injerto más. +1 espacio de Asimilación por nivel (base 3, hasta 5)."
UPGRADE_GRAFT_METABOLISM_NAME,Voracious Metabolism,Métabolisme Vorace,Metabolismo Voraz
UPGRADE_GRAFT_METABOLISM_DESC,"Your core purges corrupted biomass faster: -10% Assimilation gauge threshold per level (max -30%).","Ton noyau purge la biomasse corrompue plus vite : -10% de seuil de jauge d'Assimilation par niveau (max -30%).","Tu núcleo purga la biomasa corrupta más rápido: -10% de umbral de la jauge de Asimilación por nivel (máx. -30%)."
ASSIM_TITLE,ASSIMILATION,ASSIMILATION,ASIMILACIÓN
ASSIM_REPLACE_TITLE,ONE GRAFT MUST GIVE WAY,UNE GREFFE DOIT CÉDER SA PLACE,UN INJERTO DEBE CEDER SU LUGAR
ASSIM_ASSIMILATE,ASSIMILATE,ASSIMILER,ASIMILAR
ASSIM_REJECT,REJECT,REJETER,RECHAZAR
ASSIM_KEEP,KEEP,CONSERVER,CONSERVAR
ASSIM_REPLACE_WITH,Replace: {0},Remplacer : {0},Reemplazar: {0}
ASSIM_FUSION_TITLE,FUSION,FUSION,FUSIÓN
ASSIM_FUSION_TAG,FUSION,FUSION,FUSIÓN
CHIMERA_CODEX_TITLE,CHIMERA — ASSIMILATION,CHIMÈRE — ASSIMILATION,QUIMERA — ASIMILACIÓN
CHIMERA_CODEX_INTRO,"Don't just kill the Rust's creatures: become them. Each enemy archetype fills an assimilation gauge; once full, you can graft part of the creature onto your body. Grafts fill limited, replaceable slots. Two compatible grafts can fuse into a superior form that frees up a slot.","Ne te contente pas de tuer les créatures de la Rouille : deviens-les. Chaque archétype d'ennemi remplit une jauge d'assimilation ; une fois pleine, tu peux greffer une partie de la créature à ton corps. Les greffes occupent des emplacements limités (remplaçables). Deux greffes compatibles peuvent fusionner en une forme supérieure qui libère un emplacement.","No te limites a matar a las criaturas de la Herrumbre: conviértete en ellas. Cada arquetipo de enemigo llena un medidor de asimilación; una vez lleno, puedes injertar parte de la criatura en tu cuerpo. Los injertos ocupan espacios limitados y reemplazables. Dos injertos compatibles pueden fusionarse en una forma superior que libera un espacio."
ASSIM_FUSE,ASSIMILATE FUSION,ASSIMILER LA FUSION,ASIMILAR FUSIÓN
ASSIM_REFUSE,REFUSE,REFUSER,RECHAZAR
GRAFT_SWARM_SYMBIOTE_NAME,Symbiotic Swarm,Nuée Symbiotique,Enjambre Simbiótico
GRAFT_SWARM_SYMBIOTE_DESC,"4 mini-swarms of living rust orbit you, biting anything that nears and stealing HP on contact.","4 mini-essaims de rouille vivante t'entourent, mordant ce qui approche et volant des PV au contact.","4 mini-enjambres de herrumbre viva te rodean, mordiendo lo que se acerca y robando PV al contacto."
GRAFT_ERRATIC_SERVOS_NAME,Erratic Servos,Servos Erratiques,Servos Erráticos
GRAFT_ERRATIC_SERVOS_DESC,"Drone reflexes grafted to your legs: a brief invulnerable dodge dash, on cooldown.","Les réflexes du drone greffés à tes jambes : une ruade d'esquive brève et invulnérable, à recharge.","Los reflejos del dron injertados en tus piernas: una embestida de esquiva breve e invulnerable, con recarga."
GRAFT_AIMING_EYE_NAME,Aiming Eye,Œil de Visée,Ojo de Puntería
GRAFT_AIMING_EYE_DESC,A sentinel's eye grafted into your skull fires on its own at the nearest enemy.,Un œil de sentinelle greffé dans ton crâne tire seul sur l'ennemi le plus proche.,Un ojo de centinela injertado en tu cráneo dispara solo al enemigo más cercano.
GRAFT_GRAFTED_CARAPACE_NAME,Grafted Carapace,Carapace Greffée,Caparazón Injertado
